# timestamp scenario_index distance orientation rssi battery heart_rate
1459507834965 numberOfScenarios: 210
# Scenario 1 = 0.1m, -90.0°
1459507977016 3 0.1 -30.0 -46 0 96
1459507977262 3 0.1 -30.0 -46 0 96
1459507977510 3 0.1 -30.0 -46 0 96
1459507977756 3 0.1 -30.0 -47 0 96
1459507978003 3 0.1 -30.0 -45 0 96
1459507978493 3 0.1 -30.0 -45 0 96
1459507978740 3 0.1 -30.0 -45 0 96
1459507979234 3 0.1 -30.0 -45 0 96
1459507979480 3 0.1 -30.0 -45 0 96
1459507979725 3 0.1 -30.0 -45 0 96
1459507979972 3 0.1 -30.0 -45 0 96
1459507980218 3 0.1 -30.0 -45 0 96
1459507980464 3 0.1 -30.0 -45 0 96
1459507980709 3 0.1 -30.0 -45 0 96
1459507980961 3 0.1 -30.0 -45 0 96
1459507981206 3 0.1 -30.0 -45 0 96
1459507981450 3 0.1 -30.0 -45 0 96
1459507981700 3 0.1 -30.0 -45 0 96
1459507981942 3 0.1 -30.0 -45 0 96
1459507982188 3 0.1 -30.0 -45 0 96
1459507982437 3 0.1 -30.0 -45 0 96
1459507982688 3 0.1 -30.0 -45 0 96
1459507982927 3 0.1 -30.0 -45 0 96
1459507983172 3 0.1 -30.0 -45 0 96
# Scenario 4 = 0.1m, 0.0°
1459507994502 4 0.1 0.0 -44 0 96
1459507994994 4 0.1 0.0 -44 0 96
1459507995240 4 0.1 0.0 -44 0 96
1459507995491 4 0.1 0.0 -44 0 96
1459507995733 4 0.1 0.0 -44 0 96
1459507995981 4 0.1 0.0 -45 0 96
1459507996225 4 0.1 0.0 -44 0 96
1459507996473 4 0.1 0.0 -44 0 96
1459507996718 4 0.1 0.0 -44 0 96
1459507996965 4 0.1 0.0 -44 0 96
1459507997211 4 0.1 0.0 -45 0 96
1459507997704 4 0.1 0.0 -44 0 96
1459507997950 4 0.1 0.0 -44 0 96
1459507998199 4 0.1 0.0 -44 0 96
1459507998441 4 0.1 0.0 -44 0 96
1459507998689 4 0.1 0.0 -44 0 96
1459507998934 4 0.1 0.0 -44 0 96
1459507999182 4 0.1 0.0 -44 0 96
1459507999427 4 0.1 0.0 -44 0 96
1459507999675 4 0.1 0.0 -44 0 96
1459507999919 4 0.1 0.0 -44 0 96
1459508000165 4 0.1 0.0 -44 0 96
1459508000415 4 0.1 0.0 -44 0 96
1459508000662 4 0.1 0.0 -45 0 96
1459508000906 4 0.1 0.0 -44 0 96
1459508001153 4 0.1 0.0 -44 0 96
1459508001398 4 0.1 0.0 -44 0 96
1459508001645 4 0.1 0.0 -44 0 96
1459508001893 4 0.1 0.0 -44 0 96
1459508002137 4 0.1 0.0 -44 0 96
1459508002382 4 0.1 0.0 -44 0 96
1459508002630 4 0.1 0.0 -44 0 96
1459508002875 4 0.1 0.0 -44 0 96
1459508003123 4 0.1 0.0 -44 0 96
1459508003372 4 0.1 0.0 -44 0 96
1459508003615 4 0.1 0.0 -44 0 96
1459508003861 4 0.1 0.0 -44 0 96
1459508004106 4 0.1 0.0 -44 0 96
1459508004353 4 0.1 0.0 -44 0 96
1459508004601 4 0.1 0.0 -44 0 96
1459508004851 4 0.1 0.0 -44 0 96
1459508005092 4 0.1 0.0 -44 0 96
1459508005337 4 0.1 0.0 -44 0 96
1459508005585 4 0.1 0.0 -44 0 96
1459508005832 4 0.1 0.0 -45 0 96
1459508006076 4 0.1 0.0 -44 0 96
1459508006568 4 0.1 0.0 -43 0 96
1459508006818 4 0.1 0.0 -44 0 96
1459508007063 4 0.1 0.0 -43 0 96
1459508007308 4 0.1 0.0 -44 0 96
1459508007801 4 0.1 0.0 -44 0 96
1459508008046 4 0.1 0.0 -43 0 96
1459508008295 4 0.1 0.0 -44 0 96
1459508008542 4 0.1 0.0 -43 0 96
1459508008785 4 0.1 0.0 -43 0 96
1459508009032 4 0.1 0.0 -45 0 96
1459508009278 4 0.1 0.0 -44 0 96
1459508009525 4 0.1 0.0 -44 0 96
1459508009775 4 0.1 0.0 -44 0 96
1459508010017 4 0.1 0.0 -43 0 96
1459508010263 4 0.1 0.0 -43 0 96
1459508010511 4 0.1 0.0 -44 0 96
1459508010755 4 0.1 0.0 -44 0 96
1459508011002 4 0.1 0.0 -44 0 96
1459508011250 4 0.1 0.0 -44 0 96
1459508011497 4 0.1 0.0 -43 0 96
1459508011744 4 0.1 0.0 -44 0 96
1459508011990 4 0.1 0.0 -43 0 96
1459508012236 4 0.1 0.0 -43 0 96
1459508012481 4 0.1 0.0 -43 0 96
1459508012728 4 0.1 0.0 -44 0 96
1459508012972 4 0.1 0.0 -44 0 96
1459508013220 4 0.1 0.0 -44 0 96
1459508013468 4 0.1 0.0 -43 0 96
1459508013716 4 0.1 0.0 -44 0 96
1459508013959 4 0.1 0.0 -44 0 96
1459508014207 4 0.1 0.0 -44 0 96
1459508014451 4 0.1 0.0 -43 0 96
1459508014698 4 0.1 0.0 -44 0 96
1459508014945 4 0.1 0.0 -44 0 96
1459508015191 4 0.1 0.0 -44 0 96
1459508015439 4 0.1 0.0 -44 0 96
1459508015681 4 0.1 0.0 -44 0 96
1459508015928 4 0.1 0.0 -44 0 96
1459508016173 4 0.1 0.0 -44 0 96
1459508016421 4 0.1 0.0 -44 0 96
1459508016666 4 0.1 0.0 -44 0 96
1459508016915 4 0.1 0.0 -44 0 96
1459508017406 4 0.1 0.0 -43 0 96
1459508017652 4 0.1 0.0 -44 0 96
1459508018144 4 0.1 0.0 -43 0 96
1459508018390 4 0.1 0.0 -44 0 96
1459508018637 4 0.1 0.0 -44 0 96
1459508018886 4 0.1 0.0 -43 0 96
1459508019129 4 0.1 0.0 -44 0 96
1459508019374 4 0.1 0.0 -45 0 96
1459508019624 4 0.1 0.0 -45 0 96
1459508019871 4 0.1 0.0 -45 0 96
1459508020115 4 0.1 0.0 -44 0 96
1459508020360 4 0.1 0.0 -44 0 96
# Scenario 5 = 0.1m, 30.0°
1459508051493 5 0.1 30.0 -42 0 92
1459508051740 5 0.1 30.0 -42 0 92
1459508051988 5 0.1 30.0 -42 0 92
1459508052232 5 0.1 30.0 -42 0 92
1459508052480 5 0.1 30.0 -42 0 92
1459508052725 5 0.1 30.0 -42 0 92
1459508052975 5 0.1 30.0 -42 0 92
1459508053217 5 0.1 30.0 -42 0 92
1459508053464 5 0.1 30.0 -42 0 92
1459508053711 5 0.1 30.0 -42 0 92
1459508053961 5 0.1 30.0 -42 0 92
1459508054204 5 0.1 30.0 -42 0 92
1459508054448 5 0.1 30.0 -43 0 92
1459508054696 5 0.1 30.0 -42 0 92
1459508054944 5 0.1 30.0 -42 0 92
1459508055188 5 0.1 30.0 -42 0 92
1459508055681 5 0.1 30.0 -43 0 92
1459508055928 5 0.1 30.0 -42 0 92
1459508056419 5 0.1 30.0 -42 0 92
1459508056666 5 0.1 30.0 -42 0 92
1459508056913 5 0.1 30.0 -43 0 92
1459508057159 5 0.1 30.0 -42 0 92
1459508057404 5 0.1 30.0 -42 0 92
1459508057651 5 0.1 30.0 -42 0 92
1459508057900 5 0.1 30.0 -42 0 92
1459508058143 5 0.1 30.0 -42 0 92
